Erreur;Ntotal;Nprocessus;Temps(ms)
6.0559598513091885E-5;10000000;1;636
3.0383821302919632E-5;20000000;2;1287
8.83586619065453E-5;30000000;3;2046
7.784382533285632E-5;40000000;4;2801
6.387002132935714E-5;50000000;5;3469
5.746636112186545E-6;60000000;6;4244
5.794370903953075E-6;70000000;7;5076
8.411224475744872E-5;80000000;8;5830
2.1994587413659557E-5;90000000;9;6732
2.497663410214569E-5;100000000;10;7394
1.643332306673832E-6;110000000;11;8272
8.643819225988911E-5;120000000;12;8932
4.5858578846601335E-5;130000000;13;9739
6.790117698253307E-5;140000000;14;10458
2.668293835952506E-5;150000000;15;11886
5.5593964288694E-5;160000000;16;12738
